,Invoice_No.,Business_Zipode,Client_Name,Client_Mail_Adrres,Client_PhoneNo,Invoice_IssueDate,Due_Date,SubTotal,Tax_per,Tota_Due
0,NL57EPAS7793742478,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,08-07-2023,$20307,10,$22337.7
1,TG67TS4201156943079376302586,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,08-07-2023,$44939,10,$49432.9
2,PL78471652155541337034579773,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,26-06-2023,$30902,10,$33992.2
3,VA79BS9703382218861658,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,06-07-2023,$32379,10,$35616.9
4,HU09591267295510040401720839,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,29-06-2023,$25956,10,$28551.6
5,NL21QPRB2424672182,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,20-06-2023,$18375,10,$20212.5
6,GB37WFFO25512305525612,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,25-06-2023,$12724,10,$13996.4
7,QA23GSEDDLR17T5THL7KRIELFWJ9K,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,04-07-2023,$24569,10,$27025.9
8,FO8840123458407519,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,09-07-2023,$5390,10,$5929
9,MK495804UZ2P32RXD77,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,28-06-2023,$21020,10,$23122
10,DJ196692345471QU7QUNRNTAQ89,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,28-06-2023,$17427,10,$19169.7
11,AE731492TIOBCCUXSXS9RVG,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,26-06-2023,$41777,10,$45954.7
12,SV88JAVJ47172859123136611107,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,14-06-2023,$25828,10,$28410.8
13,AD5161758975IFWXVY4BVSKQ,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,29-06-2023,$35809,10,$39389.9
14,BI92052533726834,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,06-07-2023,$33506,10,$36856.6
15,NL90RAIU1648063002,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,29-06-2023,$30040,10,$33044
16,LT188314576842376825,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,09-07-2023,$15744,10,$17318.4
17,GQ4309138842393EARKL7KM2749,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,22-06-2023,$38405,10,$42245.5
18,DK4790859333570403,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,14-06-2023,$34482,10,$37930.2
